Address,Interruption,Planned,Reported On,Restoration Time,Impact
"SEDGWICK - Building 01  140 WEST 174TH STREET  BRONX, NY 10453",Elevator PARTIAL SERVICE,Unplanned,02/29/2020 1:17 AM,3 Hours,BuildingsUnitsPopulation  1114222
"SHEEPSHEAD BAY - Building 01  2985 AVENUE X  BROOKLYN, NY 11235",Elevator NO SERVICE,Unplanned,02/28/2020 2:54 PM,2 Hours,BuildingsUnitsPopulation  13063
"SOUNDVIEW - Building 11  1686 RANDALL AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,02/28/2020 2:06 PM,8 Hours,BuildingsUnitsPopulation  149116
"SOUNDVIEW - Building 09  541 ROSEDALE AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,02/28/2020 9:52 PM,14 Hours,BuildingsUnitsPopulation  149115
"SOUNDVIEW - Building 09  551 ROSEDALE AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,02/28/2020 7:59 AM,2 Hours,BuildingsUnitsPopulation  149113
"ST. MARY'S PARK - Building 04  665 WESTCHESTER AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 10:31 AM,4 Hours,BuildingsUnitsPopulation  1168347
"ST. MARY'S PARK - Building 06  671 WESTCHESTER AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 9:29 AM,6 Hours,BuildingsUnitsPopulation  1165387
"SUMNER - Building 13  808 PARK AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/28/2020 10:48 AM,3 Hours,BuildingsUnitsPopulation  14289
"THROGGS NECK - Building 26  2805 SCHLEY AVENUE  BRONX, NY 10465",Elevator NO SERVICE,Unplanned,02/29/2020 12:39 PM,2 Hours,BuildingsUnitsPopulation  13560
"THROGGS NECK ADDITION - Building 30  680 BALCOM AVENUE  BRONX, NY 10465",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 4:59 PM,18 Hours,BuildingsUnitsPopulation  156128
"TOMPKINS - Building 04  212 THROOP AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 3:24 PM,25 Hours,BuildingsUnitsPopulation  1123341
"TOMPKINS - Building 07  99 TOMPKINS AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 8:27 PM,11 Hours,BuildingsUnitsPopulation  159151
"TWO BRIDGES URA (SITE 7) - Building 01  286 SOUTH STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:25 PM,32 Hours,BuildingsUnitsPopulation  1250628
"UNION AVENUE-EAST 163RD STREET - Building 01  950 UNION AVENUE  BRONX, NY 10459",Elevator NO SERVICE,Unplanned,02/28/2020 3:29 PM,5 Hours,BuildingsUnitsPopulation  1200231
"UNITY PLAZA (SITES 4-27) - Building 03  375 WILLIAMS AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,02/29/2020 11:28 AM,3 Hours,BuildingsUnitsPopulation  13074
"VAN DYKE I - Building 05  362 SUTTER AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 10:16 AM,3 Hours,BuildingsUnitsPopulation  1112285
"VAN DYKE I - Building 03  390 SUTTER AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 5:13 AM,5 Hours,BuildingsUnitsPopulation  1108264
"VANDALIA AVENUE - Building 02  77 VANDALIA AVENUE  BROOKLYN, NY 11239",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 7:17 AM,2 Hours,BuildingsUnitsPopulation  1147168
"WAGNER - Building 16  2370 2ND AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 10:04 AM,4 Hours,BuildingsUnitsPopulation  1125279
"WAGNER - Building 22  2400 2ND AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 4:12 PM,2 Hours,BuildingsUnitsPopulation  1125268
"WALD - Building 06  40 AVENUE D  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 12:35 PM,2 Hours,BuildingsUnitsPopulation  1117233
"WALD - Building 12  950 EAST 4TH WALK  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 4:02 AM,5 Hours,BuildingsUnitsPopulation  1126272
"WASHINGTON - Building 07  1809 3RD AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 10:17 AM,5 Hours,BuildingsUnitsPopulation  1110279
"WASHINGTON - Building 13  1875 3RD AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/29/2020 1:34 PM,2 Hours,BuildingsUnitsPopulation  1110253
"WHITMAN - Building 06  125 NORTH PORTLAND AVENUE  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/28/2020 12:06 PM,3 Hours,BuildingsUnitsPopulation  13063
"WHITMAN - Building 03  140 WASHINGTON WALK  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/29/2020 11:30 AM,3 Hours,BuildingsUnitsPopulation  142100
"WHITMAN - Building 04  149 NORTH PORTLAND AVENUE  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/28/2020 1:12 PM,3 Hours,BuildingsUnitsPopulation  14285
"WHITMAN - Building 11  68 CUMBERLAND WALK  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/28/2020 8:17 AM,2 Hours,BuildingsUnitsPopulation  1102229
"WILSON - Building 03  435 EAST 105TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/29/2020 10:39 AM,5 Hours,BuildingsUnitsPopulation  1152421
"WOODSIDE - Building 09  31-67 49TH STREET  QUEENS, NY 11377",Elevator NO SERVICE,Unplanned,02/29/2020 11:01 AM,3 Hours,BuildingsUnitsPopulation  12464
"WSUR (SITE B) 74 WEST 92ND STREET - Building 05  74 WEST 92ND STREET  NEW YORK, NY 10025",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 4:18 PM,7 Hours,BuildingsUnitsPopulation  1168331
